user_id,acquisition_date,last_active_date,platform_used,total_active_days,total_activity_days
272781,2024-04-01,2024-04-28,android,16,28
272782,2024-03-16,2024-03-29,android,11,14
272783,2024-03-20,2024-04-19,android,14,31
272784,2024-03-15,2024-03-18,android,4,4
272787,2024-03-24,2024-05-01,android,34,39
272788,2024-03-19,2024-05-01,android,7,44
272789,2024-03-30,2024-05-01,android,26,33
272790,2024-04-01,2024-04-30,android,12,30
272792,2024-03-17,2024-04-30,android,17,45
272793,2024-03-15,2024-04-20,android,19,37
272794,2024-03-24,2024-05-01,android,39,39
272795,2024-03-20,2024-03-28,android,6,9
272796,2024-03-02,2024-03-05,android,4,4
272797,2024-03-01,2024-05-01,android,40,62
272798,2024-04-05,2024-04-08,android,4,4
272800,2024-03-01,2024-04-07,android,27,38
272801,2024-03-01,2024-04-06,ios,36,37
272802,2024-03-18,2024-04-02,android,7,16
272803,2024-04-19,2024-04-20,android,2,2
272804,2024-03-31,2024-04-08,android,7,9
272805,2024-03-01,2024-05-01,android,58,62
272806,2024-03-11,2024-03-18,android,6,8
272808,2024-03-02,2024-03-02,android,1,1
272810,2024-03-14,2024-03-15,android,2,2
272812,2024-03-01,2024-03-02,android,2,2
272814,2024-03-17,2024-04-26,android,29,41
272815,2024-03-02,2024-05-01,android,55,61
272816,2024-03-02,2024-04-30,android,44,60
272817,2024-03-22,2024-04-19,android,23,29
272818,2024-03-17,2024-04-05,android,19,20
272819,2024-03-03,2024-04-03,android,8,32
272821,2024-04-10,2024-04-29,android,13,20
272823,2024-04-18,2024-04-29,android,9,12
272824,2024-03-02,2024-03-23,android,14,22
272825,2024-04-09,2024-05-01,android,12,23
272826,2024-04-04,2024-04-13,ios,10,10
272827,2024-03-01,2024-05-01,android,60,62
272829,2024-03-09,2024-03-11,android,3,3
272830,2024-03-03,2024-03-27,android,15,25
272831,2024-03-10,2024-03-31,ios,13,22
272833,2024-04-19,2024-04-29,android,8,11
272834,2024-04-10,2024-04-18,android,8,9
272836,2024-03-01,2024-05-01,android,52,62
272838,2024-03-01,2024-04-09,android,18,40
272839,2024-04-16,2024-04-19,android,4,4
272840,2024-04-19,2024-05-01,android,11,13
272841,2024-04-09,2024-04-29,android,18,21
272843,2024-03-15,2024-03-20,android,5,6
272845,2024-03-07,2024-04-30,android,18,55
272846,2024-04-13,2024-04-16,android,4,4
272847,2024-03-18,2024-04-19,android,17,33
272848,2024-04-18,2024-05-01,android,13,14
272850,2024-04-08,2024-04-15,android,8,8
